编号,价格,户型,面积,楼层,朝向,行政区,商圈,上线日期,地标名称,地标地址
shz4301154,6700元/月,2室 1厅,85平,低区/6层,朝南北,徐汇,漕河泾,2017.11.06,桂林苑,桂林路399号，钦州北路885弄，钦州北路888弄
shz4399097,9000元/月,2室 2厅,88平,低区/24层,朝南,徐汇,漕河泾,2018.01.09,凯迪虹桥晶舍,桂林路666弄
shz4386721,6700元/月,2室 1厅,58平,低区/34层,暂无数据,徐汇,漕河泾,2018.01.01,华悦家园,虹漕路3号， 虹漕路21号， 虹漕路23号， 虹漕路19弄
shz4386700,6700元/月,1室 1厅,58平,低区/34层,暂无数据,徐汇,漕河泾,2018.01.01,华悦家园,虹漕路3号， 虹漕路21号， 虹漕路23号， 虹漕路19弄
shz4377457,7800元/月,2室 2厅,82平,高区/6层,暂无数据,徐汇,漕河泾,2017.12.26,航天新苑,虹梅路2015弄
shz4283091,7500元/月,2室 2厅,84平,低区/6层,暂无数据,徐汇,漕河泾,2017.10.26,航天新苑,虹梅路2015弄
shz4228410,4800元/月,2室 0厅,56平,高区/7层,暂无数据,徐汇,漕河泾,2017.09.21,钦江路47弄,钦江路47弄
shz4409604,4100元/月,1室 1厅,55平,中区/11层,暂无数据,徐汇,漕河泾,2018.01.16,东方康洛,钦江路28弄1-15号
shz4360832,9000元/月,2室 2厅,88平,低区/23层,暂无数据,徐汇,漕河泾,2017.12.15,华悦家园,虹漕路3号， 虹漕路21号， 虹漕路23号， 虹漕路19弄
shzr100043914,2930元/月(季付),3室1厅,14.7平,中区/6层,南,徐汇,漕河泾,2017.11.19,欣嘉苑,苍梧路468弄，钦州北路1018弄
shzr100043294,2530元/月(季付),3室1厅,9.0平,高区/6层,东,徐汇,漕河泾,2017.11.14,欣嘉苑,苍梧路468弄，钦州北路1018弄
shzr100043293,2830元/月(季付),3室1厅,12.9平,高区/6层,南,徐汇,漕河泾,2017.11.15,欣嘉苑,苍梧路468弄，钦州北路1018弄
shz4362759,8500元/月,2室 2厅,88平,低区/24层,朝南,徐汇,漕河泾,2017.12.16,凯迪虹桥晶舍,桂林路666弄
shz4356892,13000元/月,3室 2厅,132平,低区/18层,朝南北,徐汇,漕河泾,2017.12.12,永兆豪庭,虹梅路2125弄， 虹梅路2588弄
shz4342786,4600元/月,1室 1厅,46平,中区/6层,朝西北,徐汇,漕河泾,2017.12.03,桂林苑,桂林路399号，钦州北路885弄，钦州北路888弄
shz4334531,8500元/月,2室 2厅,98平,中区/13层,暂无数据,徐汇,漕河泾,2017.11.28,航天公寓,钦州北路939弄，钦州北路927弄
shz4253138,6500元/月,2室 1厅,62平,高区/7层,暂无数据,徐汇,漕河泾,2017.10.08,桂林苑,桂林路399号，钦州北路885弄，钦州北路888弄
shz4204030,5600元/月,2室 0厅,56平,中区/7层,朝南北,徐汇,漕河泾,2017.09.07,钦江路47弄,钦江路47弄
shz4182420,15000元/月,3室 2厅,135平,中区/18层,朝南北,徐汇,漕河泾,2017.08.27,永兆豪庭,虹梅路2125弄， 虹梅路2588弄
shz4346250,7500元/月,2室 1厅,77平,高区/17层,暂无数据,徐汇,漕河泾,2017.12.05,永兆豪庭,虹梅路2125弄， 虹梅路2588弄
shz4400796,5600元/月,1室 1厅,55平,低区/16层,暂无数据,徐汇,漕河泾,2018.01.11,永兆豪庭,虹梅路2125弄， 虹梅路2588弄
shz4399140,8000元/月,2室 2厅,87平,低区/30层,朝南北,徐汇,漕河泾,2018.01.09,华悦家园,虹漕路3号， 虹漕路21号， 虹漕路23号， 虹漕路19弄
shz4409621,9000元/月,3室 2厅,114平,中区/6层,暂无数据,徐汇,漕河泾,2018.01.16,欣嘉苑,苍梧路468弄，钦州北路1018弄
shz4372037,4600元/月,1室 1厅,80平,低区/6层,暂无数据,徐汇,漕河泾,2017.12.22,欣嘉苑,苍梧路468弄，钦州北路1018弄
shz4213112,7000元/月,2室 2厅,50平,高区/6层,朝南北,徐汇,漕河泾,2017.09.12,欣嘉苑,苍梧路468弄，钦州北路1018弄
shz3677135,7000元/月,2室 2厅,77平,高区/6层,暂无数据,徐汇,漕河泾,2017.09.15,欣嘉苑,苍梧路468弄，钦州北路1018弄
shz4392133,3400元/月,1室 1厅,42平,低区/7层,暂无数据,杨浦,五角场,2018.01.05,三门路358弄,三门路358弄
shz4295414,3500元/月,1室 1厅,44平,中区/7层,暂无数据,杨浦,五角场,2017.11.03,三门路358弄,三门路358弄
shz4401069,8000元/月,2室 1厅,55平,中区/7层,朝南北,杨浦,五角场,2018.01.11,北茶园,国顺路80弄
shz4401033,5600元/月,2室 1厅,51平,中区/6层,朝南,杨浦,五角场,2018.01.11,铁路新村(杨浦),国定路277弄
shz4393849,3300元/月,1室 0厅,32平,高区/6层,朝南,杨浦,五角场,2018.01.06,邯郸小区,邯郸路20弄
shz4381737,3300元/月,1室 1厅,33平,高区/6层,朝南,杨浦,五角场,2017.12.29,黄兴路2020弄,黄兴路2020弄
shz4380461,4200元/月,1室 1厅,40平,低区/7层,朝南,杨浦,五角场,2017.12.28,铁路新村(杨浦),国定路277弄
shz4379390,5200元/月,2室 1厅,49平,中区/6层,朝南,杨浦,五角场,2017.12.27,国定路600弄,国定路600弄
shz4368392,4800元/月,2室 1厅,41平,中区/6层,暂无数据,杨浦,五角场,2017.12.20,黄兴路2020弄,黄兴路2020弄
shz4357230,4500元/月,1室 1厅,45平,低区/6层,朝南,杨浦,五角场,2017.12.12,东方家园,国顺路128弄
shz4347373,6500元/月,2室 2厅,110平,高区/6层,暂无数据,杨浦,五角场,2017.12.06,文化名园,吉浦路375弄
shz4338858,3400元/月,1室 1厅,38平,低区/7层,暂无数据,杨浦,五角场,2017.12.01,三门路510弄,三门路510弄
shz4334467,4500元/月,2室 1厅,60平,中区/6层,朝南北,杨浦,五角场,2017.11.28,财大小区,政立路580弄
shz4325781,5200元/月,2室 1厅,62平,高区/6层,朝南北,杨浦,五角场,2017.11.22,文化名园,吉浦路375弄
shz4323477,4600元/月,2室 1厅,46平,高区/6层,暂无数据,杨浦,五角场,2017.11.20,铁路新村(杨浦),国定路277弄
shz4314123,5000元/月,2室 0厅,53平,高区/6层,朝南北,杨浦,五角场,2017.11.15,铁路新村(杨浦),国定路277弄
shz4311644,3700元/月,2室 1厅,49平,中区/7层,暂无数据,杨浦,五角场,2017.11.13,三门路510弄,三门路510弄
shz4292197,3500元/月,1室 0厅,33平,低区/6层,暂无数据,杨浦,五角场,2017.11.01,黄兴路2020弄,黄兴路2020弄
shz4213179,6300元/月,2室 0厅,65平,中区/6层,暂无数据,杨浦,五角场,2017.09.12,政通路100弄,政通路100弄
shz4143122,5500元/月,2室 1厅,61平,高区/6层,暂无数据,杨浦,五角场,2017.08.07,文化名园,吉浦路375弄
shz4392226,4000元/月,1室 0厅,32平,高区/6层,暂无数据,杨浦,五角场,2018.01.05,国顺路389弄,国顺路389弄
shz4409104,3600元/月,1室 1厅,31平,高区/6层,暂无数据,杨浦,五角场,2018.01.16,武川路99弄,武川路99弄
shz4404837,4500元/月,1室 1厅,48平,中区/6层,暂无数据,杨浦,五角场,2018.01.13,政民路230弄,政民路230弄
shz4404695,4500元/月,2室 2厅,73平,低区/20层,暂无数据,杨浦,五角场,2018.01.13,吉浦小区,吉浦路395弄
shz4401038,5600元/月,3室 1厅,53平,中区/6层,朝南北,杨浦,五角场,2018.01.11,国顺路300弄,国顺路300弄
shz4400374,3900元/月,1室 1厅,48平,中区/6层,暂无数据,杨浦,五角场,2018.01.10,南茶园,国顺路81弄
shz4397293,8000元/月,2室 1厅,53平,低区/6层,朝南北,杨浦,五角场,2018.01.08,政民路230弄,政民路230弄
shz4378812,5300元/月,2室 1厅,68平,高区/6层,朝南北,杨浦,五角场,2017.12.27,国远小区,国权路322弄
shz4350449,3800元/月,1室 0厅,34平,中区/6层,朝南,杨浦,五角场,2017.12.08,四平路2100弄,四平路2100弄
shz4341144,4000元/月,1室 1厅,44平,低区/6层,朝南北,杨浦,五角场,2017.12.02,武川路99弄,武川路99弄
shz4335773,5500元/月,2室 1厅,48平,低区/6层,朝南,杨浦,五角场,2017.11.29,四平路2100弄,四平路2100弄
shz4256543,6500元/月,2室 2厅,77平,高区/6层,暂无数据,杨浦,五角场,2017.10.10,海鸿公寓,国权路95弄
shz4396962,4000元/月,1室 1厅,41平,高区/6层,暂无数据,杨浦,五角场,2018.01.08,黄兴路2020弄,黄兴路2020弄
shz4394681,4100元/月,2室 1厅,38平,高区/6层,朝南,杨浦,五角场,2018.01.06,复旦零号宿舍,国年路250弄
shz4391444,3500元/月,1室 0厅,29平,低区/6层,暂无数据,杨浦,五角场,2018.01.04,四平路2100弄,四平路2100弄
shz4382523,7500元/月,2室 1厅,47平,中区/6层,暂无数据,杨浦,五角场,2017.12.29,四平路2100弄,四平路2100弄
shz4374697,11000元/月,3室 2厅,157平,中区/14层,暂无数据,杨浦,五角场,2017.12.24,东方家园,国顺路128弄
shz4363363,5000元/月,1室 1厅,45平,低区/6层,暂无数据,杨浦,五角场,2017.12.16,北茶园,国顺路80弄
shz4355666,4500元/月,1室 1厅,48平,低区/7层,暂无数据,杨浦,五角场,2017.12.11,政通路118弄,政通路118弄（1-19号）
shz4349791,4300元/月,1室 1厅,37平,中区/7层,朝南,杨浦,五角场,2017.12.07,文化名园,吉浦路375弄
shz4335571,4400元/月,1室 1厅,41平,高区/5层,朝南,杨浦,五角场,2017.11.29,四平路2065弄,四平路2065弄
shz4333237,11500元/月,2室 1厅,81平,高区/6层,朝南,杨浦,五角场,2017.11.27,轻舟花苑,邯郸路446弄
shz4333093,8000元/月,2室 2厅,80平,中区/23层,朝西北,杨浦,五角场,2017.11.27,怡福苑,国顺路66弄
shz4328550,7000元/月,3室 1厅,80平,中区/6层,朝南北,杨浦,五角场,2017.11.24,南茶园,国顺路81弄
shz4312289,4800元/月,2室 1厅,56平,高区/6层,朝南,杨浦,五角场,2017.11.13,国年路160弄,国年路160弄
shz4309395,4300元/月,2室 1厅,61平,低区/7层,暂无数据,杨浦,五角场,2017.11.11,三门路358弄,三门路358弄
shz4277901,5500元/月,2室 2厅,82平,中区/6层,朝南北,杨浦,五角场,2017.10.23,大诚花苑,国定路299弄
shz4272426,2800元/月,1室 0厅,30平,中区/6层,暂无数据,杨浦,五角场,2017.10.19,武川路99弄,武川路99弄
shz4271785,6800元/月,1室 1厅,51平,中区/16层,朝南,杨浦,五角场,2017.10.19,财富公寓,政旦东路8弄
shz4239581,4300元/月,1室 1厅,40平,高区/6层,暂无数据,杨浦,五角场,2017.09.28,建新小区,邯郸路470弄
shz4405415,6500元/月,2室 1厅,55平,高区/6层,朝南,杨浦,五角场,2018.01.13,政通路118弄,政通路118弄（1-19号）
shz4401320,3500元/月,1室 1厅,34平,低区/6层,暂无数据,杨浦,五角场,2018.01.11,四平路2100弄,四平路2100弄
shz4393880,11000元/月,2室 2厅,128平,中区/7层,朝东西,杨浦,五角场,2018.01.06,创智坊(公寓),伟德路10弄，大学路63弄，大学路88弄，大学路186弄，大学路187弄，大学路268弄，大学路277弄
shz4393264,9800元/月,2室 1厅,80平,高区/6层,暂无数据,杨浦,五角场,2018.01.05,政通路311弄,政通路311弄
shz4358761,3700元/月,1室 1厅,39平,中区/6层,暂无数据,杨浦,五角场,2017.12.13,武川路245弄,武川路245弄
shzr100050420,2130元/月(季付),3室1厅,8.2平,低区/6层,北,杨浦,五角场,2018.01.11,国定路555弄,国定路555弄
shzr100047425,2690元/月(季付),4室1厅,14.49平,低区/12层,南,杨浦,五角场,2017.12.16,三湘世纪花城,纪念路289弄
shzr100047207,2290元/月(季付),2室1厅,8.5平,低区/6层,北,杨浦,五角场,2017.12.14,仁德路67弄10支弄,仁德路67弄10支弄
shz4358816,4000元/月,1室 1厅,35平,高区/7层,暂无数据,杨浦,五角场,2017.12.13,铁路新村(杨浦),国定路277弄
shz4387876,4500元/月,1室 1厅,54平,高区/6层,暂无数据,杨浦,五角场,2018.01.02,政通路311弄,政通路311弄
shz4385607,6700元/月,2室 2厅,90平,中区/6层,朝南北,杨浦,五角场,2017.12.31,大诚花苑,国定路299弄
shz4357304,4500元/月,1室 1厅,43平,高区/6层,暂无数据,杨浦,五角场,2017.12.12,财大小区,政立路580弄
shz4345863,5800元/月,2室 1厅,52平,中区/6层,暂无数据,杨浦,五角场,2017.12.05,政通路118弄,政通路118弄（1-19号）
shz4309092,7500元/月,2室 1厅,92平,高区/7层,暂无数据,杨浦,五角场,2017.11.11,政通路100弄,政通路100弄
shzr100050782,2890元/月(季付),4室1厅,26.4平,中区/10层,南,杨浦,五角场,2018.01.13,文化花园清华苑,仁德路100弄
shzr100050781,2390元/月(季付),4室1厅,15.0平,中区/10层,北,杨浦,五角场,2018.01.13,文化花园清华苑,仁德路100弄
shzr100050780,2530元/月(季付),4室1厅,11.5平,中区/10层,南,杨浦,五角场,2018.01.13,文化花园清华苑,仁德路100弄
shzr100050779,3390元/月(季付),4室1厅,16.2平,中区/10层,南,杨浦,五角场,2018.01.13,文化花园清华苑,仁德路100弄
shzr100050761,2460元/月(季付),4室1厅,11.9平,中区/12层,南,杨浦,五角场,2018.01.13,文化花园明珠苑,逸仙路655弄
shzr100050441,2260元/月(季付),3室1厅,10.0平,低区/6层,北,杨浦,五角场,2018.01.15,同济北苑,三门路318弄
shzr100050126,4090元/月,1室 1厅,40.41平,高区/7层,南,杨浦,五角场,2018.01.08,三门路358弄,三门路358弄
shzr100049772,4190元/月,1室 1厅,43.36平,高区/7层,南,杨浦,五角场,2018.01.05,三门路358弄,三门路358弄
shzr100049670,5790元/月,2室 1厅,50.0平,高区/6层,南,杨浦,五角场,2018.01.09,国定路600弄,国定路600弄
shzr100049663,5590元/月,2室 1厅,64.23平,低区/6层,南,杨浦,五角场,2018.01.04,文化名园,吉浦路375弄
shzr100049453,2290元/月(季付),3室1厅,7.4平,高区/6层,北,杨浦,五角场,2018.01.02,国定路700弄,国定路700弄
shzr100049452,2790元/月(季付),3室1厅,13.8平,高区/6层,南,杨浦,五角场,2018.01.02,国定路700弄,国定路700弄
shzr100049451,2990元/月(季付),3室1厅,12.0平,高区/6层,南,杨浦,五角场,2018.01.02,国定路700弄,国定路700弄
shzr100049377,5190元/月,2室 1厅,65.95平,高区/7层,南,杨浦,五角场,2018.01.01,三门路510弄,三门路510弄
shzr100049225,5490元/月,2室 1厅,61.32平,高区/6层,南,杨浦,五角场,2017.12.30,仁德路67弄10支弄,仁德路67弄10支弄
shzr100049224,5690元/月,2室 1厅,42.42平,中区/6层,南,杨浦,五角场,2018.01.04,国定路555弄,国定路555弄
shzr100049133,2290元/月(季付),4室1厅,11.9平,中区/6层,北,杨浦,五角场,2017.12.29,乾阳佳园,三门路588弄
shzr100049132,2390元/月(季付),4室1厅,10.6平,中区/6层,南,杨浦,五角场,2017.12.29,乾阳佳园,三门路588弄
shzr100049127,2490元/月(季付),4室1厅,9.0平,低区/7层,北,杨浦,五角场,2017.12.29,政通新苑,政通路70弄
shzr100049126,2590元/月(季付),4室1厅,9.4平,低区/7层,北,杨浦,五角场,2017.12.29,政通新苑,政通路70弄
shzr100048762,2660元/月(季付),4室1厅,11.7平,低区/28层,南,杨浦,五角场,2018.01.12,皇朝新城,黄兴路1999弄
shzr100048588,2390元/月(季付),4室1厅,10.4平,低区/11层,南,杨浦,五角场,2017.12.25,文化花园香榭丽苑,武川路75弄
shzr100048544,3290元/月(季付),3室2厅,23.12平,高区/12层,南,杨浦,五角场,2017.12.25,明和苑,逸仙路599弄
shzr100048480,6290元/月,2室 1厅,65.14平,低区/6层,南,杨浦,五角场,2017.12.24,政通路250弄,政通路250弄
shzr100048165,2290元/月(季付),4室1厅,6.1平,中区/23层,西,杨浦,五角场,2017.12.22,怡福苑,国顺路66弄
shzr100048142,5890元/月,2室 1厅,51.3平,高区/6层,南,杨浦,五角场,2017.12.21,国定路600弄,国定路600弄
shzr100048087,3460元/月(季付),3室1厅,8.0平,中区/23层,南,杨浦,五角场,2017.12.22,怡福苑,国顺路66弄
shzr100047983,2890元/月(季付),4室1厅,14.1平,中区/11层,南,杨浦,五角场,2017.12.22,文化花园香榭丽苑,武川路75弄
shzr100047982,2390元/月(季付),4室1厅,11.8平,中区/11层,北,杨浦,五角场,2017.12.22,文化花园香榭丽苑,武川路75弄
shzr100046907,2590元/月(季付),3室1厅,10.9平,高区/6层,北,杨浦,五角场,2017.12.12,建新小区,邯郸路470弄
shzr100046865,2690元/月(季付),5室1厅,13.6平,高区/6层,南,杨浦,五角场,2017.12.11,汇丰苑,国权后路25弄
shzr100046751,2390元/月(季付),3室1厅,10.6平,中区/11层,北,杨浦,五角场,2017.12.11,文化花园香榭丽苑,武川路75弄
shzr100046740,2890元/月(季付),3室1厅,15.8平,低区/8层,南,杨浦,五角场,2017.12.18,新江湾佳苑,政立路505弄
shzr100046100,2390元/月(季付),5室1厅,11.4平,低区/11层,北,杨浦,五角场,2017.12.05,文化花园香榭丽苑,武川路75弄
shzr100046099,2590元/月(季付),5室1厅,13.4平,低区/11层,南,杨浦,五角场,2017.12.05,文化花园香榭丽苑,武川路75弄
shzr100046098,2790元/月(季付),5室1厅,11.5平,低区/11层,南,杨浦,五角场,2017.12.07,文化花园香榭丽苑,武川路75弄
shzr100046077,2530元/月(季付),3室1厅,14.0平,低区/6层,南,杨浦,五角场,2017.12.05,正文花园(一期),政立路1588弄
shzr100044354,2330元/月(季付),4室1厅,10.8平,中区/6层,北,杨浦,五角场,2017.11.26,文化花园清华苑,仁德路100弄
shzr100040513,5290元/月,2室 1厅,54.3平,高区/6层,南,杨浦,五角场,2017.10.25,仁德路67弄10支弄,仁德路67弄10支弄
shzr100040164,2660元/月(季付),4室1厅,13.4平,低区/12层,南,杨浦,五角场,2017.12.27,三湘世纪花城,纪念路289弄
shzr100039135,2890元/月(季付),4室1厅,19.6平,高区/12层,南,杨浦,五角场,2018.01.14,三湘世纪花城三期,学府街88弄，吉浦路99弄
shzr100038486,2560元/月(季付),4室1厅,14.9平,中区/11层,南,杨浦,五角场,2017.10.13,文轩佳苑,政通路95弄
shzr100038372,2360元/月(季付),3室1厅,7.7平,高区/6层,北,杨浦,五角场,2018.01.14,国定路700弄,国定路700弄
